"T","Po","Pa","U","Ff","N","Nh","VV","Td","tR","RRR"
"16.7","564.2","-1.5","76","6","0.75","0.75","4","12.5","6","0"
"12.1","564.8","1.2","96","1","1","0.5","10","11.5","24","0"
"17.7","564.9","0.2","64","2","0.75","0.6","8","10.8","3","0"
"13.1","564.7","1.4","90","1","1","0.6","8","11.4","24","1"
"12.6","564.9","1.5","96","1","1","0.6","15","12","3","0"
"14.2","563.4","0.9","90","1","0.95","0.6","15","12.6","6","1"
"14.2","562.5","-0.8","89","4","1","0.95","2","12.4","3","0"
"13.3","564.3","1","87","1","0.95","0.95","16","11.2","24","0"
"12","564.9","0.9","94","1","0.05","0.1","20","11.1","24","1"
"13.4","565.8","0.9","82","2","1","0.25","12","10.3","3","0"
"12","564.7","0.2","96","2","0.95","0.6","10","11.4","6","1"
"11.9","565.2","2.5","97","1","1","0.5","5","11.4","24","1"
"17","562.7","-1.3","74","3","0.95","0.75","12","12.3","3","0"
"17.7","564","-1.7","63","2","0.95","0.75","15","10.6","6","0"
"10.4","565.3","0.9","93","1","0.6","0.4","20","9.3","24","1"
"13.4","564.9","0.9","86","1","0.4","0.1","20","11","6","1"
"14.2","564","-0.6","86","2","0.95","0.6","12","11.9","3","1"
"11.8","565.3","1","89","2","0.95","0.25","20","10","24","1"
"14.3","564.9","1.2","85","1","0.6","0.1","12","11.8","3","1"
"15.1","563.7","0.9","86","1","1","0.4","10","12.8","6","0"
"11.1","564.8","0.6","99","1","0.5","0.4","1","10.9","24","1"
"13.8","564.3","0.9","89","2","0.75","0.4","10","12","6","1"
"15.1","563.4","-0.3","82","4","0.95","0.5","14","12.1","3","0"
"11.6","565.9","1.1","95","1","1","0.4","16","10.8","24","1"
"11.1","565.7","-0.6","94","1","1","0.75","12","10.2","6","1"
"12","566.3","1.5","94","2","1","0.6","16","11.1","3","0"
"12.3","564.8","1.4","93","2","1","0.4","12","11.2","6","1"
"10.4","566.1","1.2","100","2","0.4","0.1","1.5","10.4","24","1"
"11.6","565.7","-1","94","2","0.75","0.25","14","10.7","6","1"
"14.9","564.2","-0.4","82","3","1","0.75","10","11.9","3","0"
"12.5","566.2","1","90","2","0.95","0.5","15","10.9","24","1"
"12.7","565.8","-0.5","89","1","1","0.5","18","10.9","6","0"
"13","566.3","1.1","92","2","1","0.5","18","11.7","3","0"
"15.2","565.2","1.5","77","2","1","0.6","12","11.2","6","1"
"15.2","563.7","-1.1","85","3","0.95","0.75","2","12.7","3","1"
"12.7","565.5","-0.5","90","2","0.5","0.25","12","11.1","24","1"
"11.6","564.9","1.1","96","1","1","1","10","11","6","1"
